org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
Cr0bar Limited,4,4560,0.000877,6.1e-05,1405.7533729076385,0.0,[56758],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
XuanMing Liu,3,4560,0.000658,4.6e-05,1405.7533729076385,0.0,[197433],['CN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Daniel Cid,3,4560,0.000658,4.6e-05,1405.7533729076385,0.0,[205157],['US'],"['Freight, Shipment, and Postal Services']",['Other']
NeocomISP Limited,3,4560,0.000658,4.6e-05,1405.7533729076385,0.0,[9902],['KH'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Serverius Holding B.V.,3,4560,0.000658,4.6e-05,1405.7533729076385,0.0,[208685],['NL'],['Computer and Information Technology'],['None']
Alliance LLC,3,4560,0.000658,4.6e-05,1405.7533729076385,0.0,[39900],['RU'],['Construction and Real Estate'],['Real Estate (Residential and/or Commercial)']
"Ashton Holmes, Sole Proprietorship",2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[33760],['US'],['None'],['None']
Aperture Science Limited,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[38008],['HK'],['Other'],['None']
HZ Hosting Ltd,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[59711],['BG'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
20i Limited,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[48254],['GB'],['Computer and Information Technology'],['None']
UK-2 Limited,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[13213],['GB'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Euronet Telekomunikasyon A.S.,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[201178],['TR'],['Computer and Information Technology'],['None']
Rage4 Networks Limited,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[198412],['GB'],['Computer and Information Technology'],['Software Development']
ECO-INITIATIVE LLC,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[201572],['UA'],"['Retail Stores, Wholesale, and E-commerce Sites']",['None']
Denpa Ltd.,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[131662],['TW'],['Service'],"['Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)']"
Vodafone Australia Pty Ltd,2,4560,0.000439,3.1e-05,1405.7533729076385,0.0,[133612],['AU'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
