as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
7470,1,1.0,TRUE INTERNET CORPORATION CO. LTD.,2.0086734519655874e-06,7.979951626999824e-14
7539,11,11.0,National Applied Research Laboratories,2.2095407971621463e-05,8.777946789699807e-13
7545,15,240.0,TPG Internet Pty Ltd,3.0130101779483812e-05,1.9151883904799578e-11
7679,18,228.0,"QTnet,Inc.",3.6156122135380576e-05,1.81942897095596e-11
7693,1,1.0,KSC Commercial Internet Co.Ltd.,2.0086734519655874e-06,7.979951626999824e-14
7713,103,3238.0,Telekomunikasi Indonesia (PT),0.0002068933655524555,2.583908336822543e-10
7922,210,704.0,"Comcast Cable Communications, LLC",0.0004218214249127734,5.617885945407876e-11
8047,2,2.0,"GENERAL COMMUNICATION, INC.",4.017346903931175e-06,1.595990325399965e-13
8100,109,16384.0,QuadraNet Enterprises LLC,0.00021894540626424903,1.3074352745676512e-09
8283,1,65536.0,Netwerkvereniging Coloclue,2.0086734519655874e-06,5.229741098270605e-09
8342,10,1.3877787807814457e-16,JSC RTComm.RU,2.0086734519655874e-05,1.107440753961273e-29
8422,65,3.0000000000000036,NetCologne Gesellschaft fur Telekommunikation mbH,0.00013056377437776318,2.39398548809995e-13
8447,3,3.0,A1 Telekom Austria AG,6.026020355896762e-06,2.393985488099947e-13
8473,1,1.0,Bahnhof AB,2.0086734519655874e-06,7.979951626999824e-14
8560,3,4.163336342344337e-17,IONOS SE,6.026020355896762e-06,3.322322261883819e-30
8657,13,13.0,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,2.6112754875552637e-05,1.037393711509977e-12
8697,13,208.0,Jordan Telecommunications PSC,2.6112754875552637e-05,1.6598299384159634e-11
8767,5,5.0,M-net Telekommunikations GmbH,1.0043367259827937e-05,3.989975813499912e-13
8772,2,2097152.0,NetAssist LLC,4.017346903931175e-06,1.6735171514465936e-07
8781,14,224.0,Ooredoo Q.S.C.,2.8121428327518223e-05,1.7875091644479606e-11
8888,1,1.3877787807814457e-17,xTom Pty Ltd,2.0086734519655874e-06,1.107440753961273e-30
8896,1,1.0,XFIBER AS,2.0086734519655874e-06,7.979951626999824e-14
8943,1,3.552713678800501e-15,Jump Networks Ltd,2.0086734519655874e-06,2.835048330140859e-28
8966,1,256.0,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,2.0086734519655874e-06,2.042867616511955e-11
9002,148,478.0,RETN Limited,0.0002972836708909069,3.814416877705916e-11
9009,1178,73026740727.51172,M247 Europe SRL,0.002366217326415462,0.005827498584830015
9044,1,1.0,BSE Software GmbH,2.0086734519655874e-06,7.979951626999824e-14
9121,7,1537.0,Turk Telekomunikasyon Anonim Sirketi,1.4060714163759111e-05,1.226518565069873e-10
9299,1,1.3877787807814457e-17,Philippine Long Distance Telephone Co.,2.0086734519655874e-06,1.107440753961273e-30
9312,1,1.3877787807814457e-17,xTom Hong Kong Limited,2.0086734519655874e-06,1.107440753961273e-30
9354,2,2.0,COMMUNITY NETWORK CENTER INCORPORATED.,4.017346903931175e-06,1.595990325399965e-13
9365,1,1.3877787807814457e-17,its communications Inc.,2.0086734519655874e-06,1.107440753961273e-30
9381,20,200.0,HKBN Enterprise Solutions HK Limited,4.017346903931175e-05,1.5959903253999647e-11
9443,21,21.0,VOCUS PTY LTD,4.218214249127733e-05,1.675789841669963e-12
9498,45,4320.0,Bharti Airtel Limited,9.039030533845143e-05,3.447339102863924e-10
9500,315,645.87890625,One New Zealand Group Limited,0.00063273213736916,5.1540824287745544e-11
9534,79,514.0,Maxis Broadband Sdn Bhd,0.0001586852027052814,4.10169513627791e-11
9605,97,922.0,"NTT DOCOMO, INC.",0.00019484132484066198,7.357515400093838e-11
9735,1,268435456.0,Hong Kong Domain Name Registration Company Limited,2.0086734519655874e-06,2.1421019538516398e-05
9806,8,8.0,"Beijing Educational Information Network Service Center Co., Ltd",1.60693876157247e-05,6.38396130159986e-13
9808,17,19.375,China Mobile,3.414744868341498e-05,1.5461156277312159e-12
9824,45,510.0,"JCOM Co., Ltd.",9.039030533845143e-05,4.0697753297699104e-11
9829,67,652.0,Bharat Sanchar Nigam Ltd,0.00013458112128169437,5.202928460803885e-11
9902,1,65536.0,NeocomISP Limited,2.0086734519655874e-06,5.229741098270605e-09
9924,51,411.0,"Taiwan Fixed Network, Telco and Network Service Provider.",0.00010244234605024496,3.279760118696928e-11
9929,2,2.7755575615628914e-17,CHINA UNICOM Industrial Internet Backbone,4.017346903931175e-06,2.214881507922546e-30
