org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
LEASEWEB UK LIMITED,205544.0,1,65536,[205544],0.00016084928422068523,4.152142712585082e-09
"LLC ""Internet Tehnologii""",270162.0,6,128849018880,[45027],0.0009650957053241113,0.008163444744359278
LLC Baxet,401937.0,8,30064836608,"[49392, 51659]",0.0012867942737654818,0.001904807925826544
LLC Smart Ape,340164.0,6,17180000256,[56694],0.0009650957053241113,0.0010884676035333289
LLC Vpsville,535536.0,9,56639881216,[59504],0.001447643557986167,0.0035885142522079326
Latitude.sh,1981780.0,5,240518168576,[396356],0.0008042464211034261,0.015238430189470652
LeaseWeb Netherlands B.V.,4315451.0,71,2194728353792,[60781],0.01142029917966865,0.1390506796310624
Leaseweb Deutschland GmbH,57506.0,2,4295032832,[28753],0.00032169856844137045,0.0002721189769546885
"Leaseweb USA, Inc.",1160320.0,14,137439150080,"[30633, 396362]",0.0022518899790895932,0.008707686850411367
Lilith Network INC.,202528.0,1,16777216,[202528],0.00016084928422068523,1.062948534421781e-06
LoudTronix Inc.,615636.0,3,3145728,[205212],0.00048254785266205565,1.993028502040839e-07
Louis Muscroft,203909.0,1,1048576,[203909],0.00016084928422068523,6.643428340136131e-08
Louvetel Comunicação Comercial Ltda ME,526220.0,2,3145728,[263110],0.00032169856844137045,1.993028502040839e-07
Luc Pascard,69282.0,2,33554432,[34641],0.00032169856844137045,2.125897068843562e-06
M247 Europe SRL,324324.0,36,34369896448,[9009],0.005790574231944668,0.002177562180616258
MARIA STYLE LTD,58339.0,1,65536,[58339],0.00016084928422068523,4.152142712585082e-09
MD TECHNOLOGY LIMITED,1399818.0,7,10485760,[199974],0.0011259449895447966,6.643428340136131e-07
MOACK.Co.LTD,135605.0,1,4294967296,[135605],0.00016084928422068523,0.00027211482481197594
MRGROUP INVESTMENTS LIMITED,61178.0,1,4294967296,[61178],0.00016084928422068523,0.00027211482481197594
MULTIDIST SARL,121406.0,2,38654705664,[60703],0.00032169856844137045,0.002449033423307783
"Mach Dilemma, LLC",80276.0,2,131072,[40138],0.00032169856844137045,8.304285425170164e-09
